Parent Name,Phone,Email,Address,Occupation,Relationship
Mary Smith,+233 24 123 4567,mary.smith@email.com,123 Main Street Accra,Teacher,Mother
David Johnson,+233 20 987 6543,david.johnson@email.com,456 Oak Avenue Kumasi,Engineer,Father
Lisa Brown,+233 26 555 1234,lisa.brown@email.com,789 Pine Road Tamale,Doctor,Mother
James Wilson,+233 27 777 8888,james.wilson@email.com,321 Elm Street Cape Coast,Lawyer,Father
Jennifer Davis,+233 23 444 5678,jennifer.davis@email.com,654 Maple Drive Sekondi,Nurse,Mother
Robert Garcia,+233 25 666 9999,robert.garcia@email.com,987 Cedar Lane Sunyani,Accountant,Father
Maria Martinez,+233 28 111 2222,maria.martinez@email.com,147 Birch Court Ho,Architect,Mother
Carlos Rodriguez,+233 29 333 4444,carlos.rodriguez@email.com,258 Spruce Way Koforidua,Manager,Father
Ana Lopez,+233 30 555 6666,ana.lopez@email.com,369 Willow Place Wa,Designer,Mother
Luis Gonzalez,+233 31 777 8888,luis.gonzalez@email.com,741 Aspen Street Bolgatanga,Consultant,Father 
